Game-Phase,Game-Short Name,Game-Abbr,Tournament,Game,Regions Abbr,Phase,Start (PST),Start (Local),TZ-Main Timezone,Start Date (Local),Pools Stream,Finals Stream,Pools Username,Finals Username
ABEW - ALL - (PC-Fightcade)-Full Tourney,Asura Buster,ABEW,ABEW - ALL - (PC-Fightcade),Asura Buster: Eternal Warriors,ALL,Full Tourney,2/18/2023 11:00am,2/18/2023 11:00am,PST,02/18 Sat,https://twitch.tv/MixerX1,https://twitch.tv/MixerX1,MixerX1,MixerX1
MajSoul - ALL - (PC)-Top 32,MajSoul,MajSoul,MajSoul - ALL - (PC),Mahjong Soul,ALL,Top 32,2/18/2023 11:00am,2/18/2023 11:00am,PST,02/18 Sat,,,,
VSAV - NA - (PC-Fightcade)-Full Tourney,VSAV,VSAV,VSAV - NA - (PC-Fightcade),Vampire Savior,NA,Full Tourney,2/18/2023 12:00pm,2/18/2023 12:00pm,PST,02/18 Sat,https://twitch.tv/vampirearcadia,https://twitch.tv/vampirearcadia,vampirearcadia,vampirearcadia
MBAACC - LAN - (PC-Caster)-Full Tourney,Melty Blood AACC,MBAACC,MBAACC - LAN - (PC-Caster),Melty Blood Actress Again Current Code,LAN,Full Tourney,2/18/2023 2:00pm,2/18/2023 4:00pm,CST,02/18 Sat,https://twitch.tv/melty_lan,https://twitch.tv/melty_lan,melty_lan,melty_lan
MBTL - SA/SUD - (PC-Steam)-Full Tourney,Lumina,MBTL,MBTL - SA/SUD - (PC-Steam),Melty Blood: Type Lumina,SA/SUD,Full Tourney,2/18/2023 2:00pm,2/18/2023 7:00pm,BRT,02/18 Sat,https://twitch.tv/lagfighterchile,https://twitch.tv/lagfighterchile,lagfighterchile,lagfighterchile
BBTAG - SA - (PC-Steam)-Full Tourney,BBTAG,BBTAG,BBTAG - SA - (PC-Steam),Blazblue Cross Tag Battle,SA,Full Tourney,2/18/2023 3:00pm,2/18/2023 8:00pm,BRT,02/18 Sat,https://twitch.tv/zatefgc,https://twitch.tv/zatefgc,zatefgc,zatefgc
UNICLR - SA/CH - (PC-Steam)-Full Tourney,UNI,UNICLR,UNICLR - SA/CH - (PC-Steam),Under Night In-Birth Exe:Late [cl-r],SA/CH,Full Tourney,2/18/2023 3:00pm,2/18/2023 8:00pm,CLST,02/18 Sat,https://twitch.tv/moonstylefgc,https://twitch.tv/moonstylefgc,moonstylefgc,moonstylefgc
DNFD - NA - (PC-Steam)-Full Tourney,DNFD,DNFD,DNFD - NA - (PC-Steam),DNF Duel,NA,Full Tourney,2/18/2023 4:00pm,2/18/2023 4:00pm,PST,02/18 Sat,https://twitch.com/956Productions,https://twitch.com/956Productions,956Productions,956Productions
GBVS - SA/BR - (PC-Steam)-Full Tourney,Granblue,GBVS,GBVS - SA/BR - (PC-Steam),Granblue Fantasy Versus,SA/BR,Full Tourney,2/18/2023 4:00pm,2/18/2023 9:00pm,BRT,02/18 Sat,https://twitch.tv/mark_inotv,https://twitch.tv/mark_inotv,mark_inotv,mark_inotv
NASB - NA - (PC-Steam)-Full Tourney,Nickelodeon,NASB,NASB - NA - (PC-Steam),Nickelodeon All-Star Brawl,NA,Full Tourney,2/18/2023 4:00pm,2/18/2023 4:00pm,PST,02/18 Sat,https://twitch.tv/blackimar64,https://twitch.tv/blackimar64,blackimar64,blackimar64
BBCF - NA - (PC-Steam)-Full Tourney,Blazblue,BBCF,BBCF - NA - (PC-Steam),Blazblue Centralfiction,NA,Full Tourney,2/18/2023 5:00pm,2/18/2023 5:00pm,PST,02/18 Sat,"https://twitch.tv/chickzama, https://twitch.tv/chfinal",https://twitch.tv/Chickzama,chfinal,chfinal
LAND - ALL - (PC-Fightcade)-Full Tourney,Landmaker,LAND,LAND - ALL - (PC-Fightcade),Landmaker,ALL,Full Tourney,2/18/2023 5:00pm,2/18/2023 5:00pm,PST,02/18 Sat,https://twitch.tv/AlexAlchemy,https://twitch.tv/AlexAlchemy,AlexAlchemy,AlexAlchemy
BBCF - SEA - (PC-Steam)-Full Tourney,Blazblue,BBCF,BBCF - SEA - (PC-Steam),Blazblue Centralfiction,SEA,Full Tourney,2/18/2023 8:00pm,2/19/2023 12:00pm,SGT,02/19 Sun,https://twitch.tv/kelcroze,https://twitch.tv/kelcroze,kelcroze,kelcroze
GGXRD - OCE - (PC-Steam)-Full Tourney,Rev 2,GGXRD,GGXRD - OCE - (PC-Steam),Guilty Gear Xrd REV 2,OCE,Full Tourney,2/19/2023 12:00am,2/19/2023 7:00pm,AEDT,02/19 Sun,https://twitch.tv/Halowood,https://twitch.tv/Halowood,Halowood,Halowood
EFZ - SA/BR - (PC-Caster)-Full Tourney,EFZ,EFZ,EFZ - SA/BR - (PC-Caster),Eternal Fighter Zero,SA/BR,Full Tourney,2/19/2023 10:00am,2/19/2023 3:00pm,BRT,02/19 Sun,https://twitch.tv/sage_malwous,https://twitch.tv/sage_malwous,sage_malwous,sage_malwous
UGF - SA/BR - (PC-Steam)-Full Tourney,Umineko,UGF,UGF - SA/BR - (PC-Steam),Umineko: Golden Fantasia,SA/BR,Full Tourney,2/19/2023 11:00am,2/19/2023 4:00pm,BRT,02/19 Sun,https://twitch.tv/zatefgc,https://twitch.tv/zatefgc,zatefgc,zatefgc
HFTF - NA - (PC-Fightcade)-Full Tourney,JJBA Heritage,HFTF,HFTF - NA - (PC-Fightcade),JoJo's Bizarre Adventure: Heritage for the Future,NA,Full Tourney,2/19/2023 12:00pm,2/19/2023 12:00pm,PST,02/19 Sun,,,,
MBAACC - NA - (PC-Caster)-Full Tourney,Melty Blood AACC,MBAACC,MBAACC - NA - (PC-Caster),Melty Blood Actress Again Current Code,NA,Full Tourney,2/19/2023 12:00pm,2/19/2023 12:00pm,PST,02/19 Sun,https://twitch.tv/numakie,https://twitch.tv/numakie,numakie,numakie
PRBFTG - NA+EU+LAN - (PC-Steam)-Full Tourney,Power Rangers,PRBFTG,PRBFTG - NA+EU+LAN - (PC-Steam),Power Rangers: Battle for the Grid,NA+EU+LAN,Full Tourney,2/19/2023 12:00pm,2/19/2023 12:00pm,PST,02/19 Sun,https://twitch.tv/akaragitsune,https://twitch.tv/akaragitsune,akaragitsune,akaragitsune
RE - ALL - (PC-Fightcade)-Full Tourney,,RE,RE - ALL - (PC-Fightcade),Red Earth,ALL,Full Tourney,2/19/2023 12:00pm,2/19/2023 12:00pm,PST,02/19 Sun,https://twitch.tv/melvinisaniceboy,https://twitch.tv/melvinisaniceboy,melvinisaniceboy,melvinisaniceboy
DNFD - SA/BR - (PS4)-Full Tourney,DNFD,DNFD,DNFD - SA/BR - (PS4),DNF Duel,SA/BR,Full Tourney,2/19/2023 3:00pm,2/19/2023 8:00pm,BRT,02/19 Sun,,https://twitch.tv/EC_SoulFGC,,
KOFXV - NA - (PC-Steam)-Full Tourney,KOFXV,KOFXV,KOFXV - NA - (PC-Steam),The King of Fighters XV,NA,Full Tourney,2/19/2023 3:00pm,2/19/2023 3:00pm,PST,02/19 Sun,,https://twitch.tv/956productions,,
ROAW - ALL - (PC-Steam)-Full Tourney,Rivals Workshop,ROAW,ROAW - ALL - (PC-Steam),Rivals of Aether Workshop,ALL,Full Tourney,2/19/2023 4:00pm,2/19/2023 4:00pm,PST,02/19 Sun,,,,
TF - NA - (PC-Fightcade)-Full Tourney,TF,TF,TF - NA - (PC-Fightcade),Toy Fighter,NA,Full Tourney,2/19/2023 4:00pm,2/19/2023 4:00pm,PST,02/19 Sun,https://twitch.tv/idolismj,https://twitch.tv/idolismj,idolismj,idolismj
KOF2003 - ALL - -Full Tourney,KOF2003,KOF2003,KOF2003 - ALL - ,The King of Fighters 2003,ALL,Full Tourney,2/19/2023 5:00pm,2/19/2023 5:00pm,PST,02/19 Sun,https://www.twitch.tv/alexalchemy,https://www.twitch.tv/alexalchemy,alexalchemy,alexalchemy
SG - OCE - (PC-Steam)-Full Tourney,Skullgirls,SG,SG - OCE - (PC-Steam),Skullgirls: 2nd Encore+,OCE,Full Tourney,2/24/2023 12:00am,2/24/2023 7:00pm,AEDT,02/24 Fri,twitch.tv/SkullgirlsOceania,twitch.tv/SkullgirlsOceania,SkullgirlsOceania,SkullgirlsOceania
AC - ALL - (PC-Fightcade)-Full Tourney,AlienCha,AC,AC - ALL - (PC-Fightcade),Alien Challenge,ALL,Full Tourney,2/24/2023 4:00pm,2/24/2023 4:00pm,PST,02/24 Fri,https://twitch.tv/ViviMayoi,https://twitch.tv/ViviMayoi,ViviMayoi,ViviMayoi
FOA - NA+EU - (PC-Steam)-Full Tourney,FoA,FOA,FOA - NA+EU - (PC-Steam),Fight of Animals,NA+EU,Full Tourney,2/24/2023 4:00pm,2/24/2023 4:00pm,PST,02/24 Fri,https://twitch.tv/956productions,https://twitch.tv/956productions,956productions,956productions
SS3 - ALL - (PC-Fightcade)-Full Tourney,SamSho3,SS3,SS3 - ALL - (PC-Fightcade),Samurai Shodown 3,ALL,Full Tourney,2/24/2023 5:00pm,2/24/2023 5:00pm,PST,02/24 Fri,,,,
SPLAT3 - NA - (Switch)-Full Tourney,Splat3,SPLAT3,SPLAT3 - NA - (Switch),Splatoon 3,NA,Full Tourney,2/24/2023 6:00pm,2/24/2023 6:00pm,PST,02/24 Fri,,,,
BBTAG - SEA - (PC-Steam)-Full Tourney,BBTAG,BBTAG,BBTAG - SEA - (PC-Steam),Blazblue Cross Tag Battle,SEA,Full Tourney,2/24/2023 8:00pm,2/25/2023 12:00pm,SGT,02/25 Sat,https://twitch.tv/airdasher_sea, https://twitch.tv/airdasher_sea,airdasher_sea,airdasher_sea
SOKU - JP+KR+SEA - (PC-Caster)-Full Tourney,Soku,SOKU,SOKU - JP+KR+SEA - (PC-Caster),Touhou 12.3 Hisoutensoku,JP+KR+SEA,Full Tourney,2/24/2023 10:00pm,2/25/2023 3:00pm,JST,02/25 Sat,https://youtube.com/@wintermellow,https://youtube.com/@wintermellow,wintermellow,wintermellow
BBCF - OCE - (PC-Steam)-Full Tourney,Blazblue,BBCF,BBCF - OCE - (PC-Steam),Blazblue Centralfiction,OCE,Full Tourney,2/25/2023 12:00am,2/25/2023 7:00pm,AEDT,02/25 Sat,,,,
SOKU - OCE - (PC-Caster)-Full Tourney,Soku,SOKU,SOKU - OCE - (PC-Caster),Touhou 12.3 Hisoutensoku,OCE,Full Tourney,2/25/2023 12:00am,2/25/2023 7:00pm,AEDT,02/25 Sat,https://www.youtube.com/hisoutensokuOCE,https://www.youtube.com/hisoutensokuOCE,hisoutensokuOCE,hisoutensokuOCE
BBCF - CN - (PC-Steam)-Bracket,Blazblue,BBCF,BBCF - CN - (PC-Steam),Blazblue Centralfiction,CN,Bracket,2/25/2023 3:00am,2/25/2023 7:00pm,BJT,02/25 Sat,,,,
BBCF - JP - (PC-Steam)-Full Tourney,Blazblue,BBCF,BBCF - JP - (PC-Steam),Blazblue Centralfiction,JP,Full Tourney,2/25/2023 3:00am,2/25/2023 8:00pm,JST,02/25 Sat,,,,
